,Hour Count,Actual: ,Predicted: 
41933,41933,1692,1759.8609724959028
41934,41934,1696,1797.0708988821189
41935,41935,1742,1799.9231763727719
41936,41936,1822,1774.6062900575532
41937,41937,1825,1809.5676341606631
41938,41938,1777,1912.9962261574478
41939,41939,1748,1938.6403057134146
41940,41940,1714,1930.1752792129132
41941,41941,1743,1930.1752792129132
41942,41942,1681,1903.2023785479937
41943,41943,1510,1903.2023785479937
41944,41944,1562,1918.5162653404466
41945,41945,1716,1930.060689989096
41946,41946,2081,2075.21983529376
41947,41947,2326,2500.9398646930504
41948,41948,2542,2762.575643529966
41949,41949,2596,2777.2345415000277
41950,41950,2501,2581.1707148348682
41951,41951,2356,2581.1707148348682
41952,41952,2159,2441.265072916137
41953,41953,1965,2243.653362356631
41954,41954,1861,2052.333802095399
41955,41955,1783,1887.036519042985
41956,41956,1746,1782.3116997320308
41957,41957,1726,1782.3116997320308
41958,41958,1771,1782.3116997320308
41959,41959,1920,1837.7867474616028
41960,41960,2182,1942.1754090112222
41961,41961,2240,2197.6469141919556
41962,41962,2245,2271.445412676973
41963,41963,2186,2222.788371670493
41964,41964,2155,2235.3631838322103
41965,41965,2136,2235.3631838322103
41966,41966,2166,2351.984346594215
41967,41967,2172,2370.669856258397
41968,41968,2245,2370.8708927840817
41969,41969,2343,2515.4276582535704
41970,41970,2484,2760.4105865931615
41971,41971,2637,2991.7654569658353
41972,41972,2774,2836.657480376307
41973,41973,2775,2698.2287566832592
41974,41974,2639,2653.3651171462507
41975,41975,2447,2698.2287566832592
41976,41976,2207,2417.503795668906
41977,41977,2003,2373.00395903707
41978,41978,1878,2235.0552649593496
41979,41979,1799,1830.6613228046015
41980,41980,1748,1788.0027229127954
41981,41981,1728,1788.0027229127954
41982,41982,1775,1788.0027229127954
41983,41983,1925,1821.381042042581
41984,41984,2171,1953.7426519360524
41985,41985,2244,2232.0266504783276
41986,41986,2183,2222.788371670493
41987,41987,2079,2223.827484345909
41988,41988,2073,2235.3631838322103
41989,41989,2051,2235.3631838322103
41990,41990,2054,2235.3631838322103
41991,41991,2111,2235.3631838322103
41992,41992,2153,2247.1722503706665
41993,41993,2289,2287.57174696109
41994,41994,2427,2603.61582170104
41995,41995,2573,2634.3038536027516
41996,41996,2720,2717.403359814114
41997,41997,2751,2698.2287566832592
41998,41998,2633,2674.320919276245
41999,41999,2464,2639.9701733105494
42000,42000,2231,2417.503795668906
42001,42001,2028,2210.5430878319594
42002,42002,1890,2062.913385428732
42003,42003,1795,1830.6613228046015
42004,42004,1757,1788.0027229127954
42005,42005,1748,1788.0027229127954
42006,42006,1798,1788.0027229127954
42007,42007,1928,1821.381042042581
42008,42008,2170,1953.7426519360524
42009,42009,2251,2232.0266504783276
42010,42010,2200,2222.788371670493
42011,42011,2170,2235.3631838322103
42012,42012,2146,2235.3631838322103
42013,42013,2113,2235.3631838322103
42014,42014,2108,2235.3631838322103
42015,42015,2159,2260.840876102482
42016,42016,2208,2247.1722503706665
42017,42017,2327,2254.0916781638653
42018,42018,2467,2538.3418611723596
42019,42019,2629,2648.3938852509373
42020,42020,2768,2717.403359814114
42021,42021,2783,2698.2287566832592
42022,42022,2662,2698.2287566832592
42023,42023,2494,2639.9701733105494
42024,42024,2247,2445.283970102269
42025,42025,2042,2254.0745666357643
42026,42026,1945,2062.913385428732
42027,42027,1862,1830.6613228046015
42028,42028,1795,1782.3116997320308
42029,42029,1767,1782.3116997320308
42030,42030,1810,1782.3116997320308
42031,42031,1954,1821.381042042581
42032,42032,2206,1953.7426519360524
42033,42033,2283,2210.0661512269808
42034,42034,2243,2222.788371670493
42035,42035,2221,2235.3631838322103
42036,42036,2195,2235.3631838322103
42037,42037,2172,2235.3631838322103
42038,42038,2255,2370.669856258397
42039,42039,2335,2370.669856258397
42040,42040,2400,2401.7437376116677
42041,42041,2504,2527.6149934169744
42042,42042,2621,2629.5382291084475
42043,42043,2737,2730.7176832428145
42044,42044,2869,2836.657480376307
42045,42045,2848,2916.318185379311
42046,42046,2714,2698.2287566832592
42047,42047,2535,2687.839323801486
42048,42048,2287,2757.068326370455
42049,42049,2069,2373.00395903707
42050,42050,1949,2062.913385428732
42051,42051,1861,1830.6613228046015
42052,42052,1799,1788.0027229127954
42053,42053,1768,1788.0027229127954
42054,42054,1805,1788.0027229127954
42055,42055,1940,1821.381042042581
42056,42056,2168,1953.7426519360524
42057,42057,2259,2218.655962647639
42058,42058,2253,2222.788371670493
42059,42059,2240,2235.3631838322103
42060,42060,2243,2260.840876102482
42061,42061,2263,2370.669856258397
42062,42062,2314,2407.9246341139446
42063,42063,2406,2407.9246341139446
42064,42064,2506,2427.1894489287597
42065,42065,2613,2604.927108960307
42066,42066,2729,2837.741742518175
42067,42067,2805,2991.7654569658353
42068,42068,2857,3003.9997042803748
42069,42069,2805,3071.6744528757763
42070,42070,2683,2919.990711695101
42071,42071,2552,2639.9701733105494
42072,42072,2339,2445.283970102269
42073,42073,2128,2234.2387514183733
42074,42074,1986,2062.913385428732
42075,42075,1878,1830.6613228046015
42076,42076,1802,1788.0027229127954
42077,42077,1760,1788.0027229127954
42078,42078,1762,1788.0027229127954
42079,42079,1820,1821.381042042581
42080,42080,1910,1830.6051545550479
42081,42081,1937,1870.7901552142134
42082,42082,1952,1933.130170213221
42083,42083,1968,2003.3971095116744
42084,42084,1965,2370.669856258397
42085,42085,1978,2407.9246341139446
42086,42086,2016,2407.9246341139446
42087,42087,2073,2407.9246341139446
42088,42088,2178,2427.1894489287597
42089,42089,2323,2546.300503081157
42090,42090,2455,2760.4105865931615
42091,42091,2580,2696.9296921808223
42092,42092,2718,2802.8694893143147
42093,42093,2686,2581.754139105555
42094,42094,2571,2564.308304771821
42095,42095,2450,2564.308304771821
42096,42096,2258,2442.0821592447433
42097,42097,2074,2234.2387514183733
42098,42098,1943,2044.447845054754
42099,42099,1845,1827.7569889805666
42100,42100,1768,1759.8609724959028
42101,42101,1721,1765.5519956766675
42102,42102,1721,1765.5519956766675
42103,42103,1750,1796.824423980202
42104,42104,1816,1797.8093029029344
42105,42105,1837,1839.8671589670817
42106,42106,1848,1891.2740078761246
42107,42107,1842,1895.4393744575398
42108,42108,1814,1894.895515802896
42109,42109,1809,1894.895515802896
42110,42110,1833,1894.895515802896
42111,42111,1895,1894.895515802896
42112,42112,2020,1910.2094025953488
42113,42113,2178,1982.6785595720928
42114,42114,2312,2384.2917213317646
42115,42115,2496,2584.247318170474
42116,42116,2668,2762.575643529966
42117,42117,2675,2777.2345415000277
42118,42118,2560,2777.2345415000277
42119,42119,2401,2562.814804586339
42120,42120,2199,2386.6071268100022
42121,42121,2009,2195.128328140847
42122,42122,1921,2139.7720332767867
42123,42123,1843,2037.6301603100412
42124,42124,1826,1909.2649849017366
42125,42125,1813,1875.5534896865588
42126,42126,1828,1848.626130384572
42127,42127,1977,1821.381042042581
42128,42128,2230,1942.1754090112222
42129,42129,2361,2197.6469141919556
42130,42130,2368,2267.9955675560186
42131,42131,2265,2267.9955675560186
42132,42132,2193,2243.61342975806
42133,42133,2159,2243.61342975806
42134,42134,2164,2244.652542433477
42135,42135,2293,2244.652542433477
42136,42136,2437,2243.61342975806
42137,42137,2470,2256.4307698536686
42138,42138,2479,2325.947491523202
42139,42139,2575,2613.102747366064
42140,42140,2788,2656.347353774863
42141,42141,2746,2656.347353774863
42142,42142,2634,2642.9756842644774
42143,42143,2454,2629.580740428776
42144,42144,2225,2447.690393404114
42145,42145,2021,2220.7188832865054
42146,42146,1918,2061.612688330948
42147,42147,1849,1830.6613228046015
42148,42148,1785,1782.3116997320308
42149,42149,1770,1782.3116997320308
42150,42150,1816,1782.3116997320308
42151,42151,1972,1837.7867474616028
42152,42152,2232,1942.1754090112222
42153,42153,2355,2197.6469141919556
42154,42154,2416,2283.7413752045913
42155,42155,2285,2283.7413752045913
42156,42156,2195,2283.7413752045913
42157,42157,2173,2283.3394295362623
42158,42158,2190,2311.6553407267834
42159,42159,2238,2438.519494397384
42160,42160,2347,2438.519494397384
42161,42161,2435,2480.7784976974335
42162,42162,2533,2534.627121390533
42163,42163,2645,2700.2426651422697
42164,42164,2783,2809.8500201840825
42165,42165,2757,2759.0514390591825
42166,42166,2666,2759.0514390591825
42167,42167,2517,2759.0514390591825
42168,42168,2284,2426.494135183496
42169,42169,2089,2349.25515748697
42170,42170,1969,2170.6598733609385
42171,42171,1900,1980.2170382473482
42172,42172,1885,1914.652059676882
42173,42173,1856,1889.767137937824
42174,42174,1864,1889.767137937824
42175,42175,2012,1856.975300941477
42176,42176,2270,1968.028674648104
42177,42177,2424,2231.706243853986
42178,42178,2487,2436.824337348318
42179,42179,2457,2436.824337348318
42180,42180,2296,2436.824337348318
42181,42181,2250,2426.625477538094
42182,42182,2286,2476.647177871625
42183,42183,2355,2521.2352345022496
42184,42184,2452,2535.1764109728383
42185,42185,2515,2551.4992796154474
42186,42186,2622,2627.7368013036908
42187,42187,2743,2715.968810184804
42188,42188,2851,2804.510182497709
42189,42189,2837,2809.8500201840825
42190,42190,2726,2809.8500201840825
42191,42191,2544,2809.8500201840825
42192,42192,2309,2426.494135183496
42193,42193,2101,2210.5430878319594
42194,42194,1983,2053.8143975744815
42195,42195,1914,1830.6613228046015
42196,42196,1888,1884.0331008832513
42197,42197,1862,1884.0331008832513
42198,42198,1873,1906.6504877597229
42199,42199,2011,1927.3553319153139
42200,42200,2262,1969.7355315169602
42201,42201,2406,2231.706243853986
42202,42202,2449,2436.824337348318
42203,42203,2451,2436.824337348318
42204,42204,2338,2436.824337348318
42205,42205,2236,2426.625477538094
42206,42206,2235,2426.625477538094
42207,42207,2294,2476.647177871625
42208,42208,2396,2575.6507138355855
42209,42209,2493,2287.57174696109
42210,42210,2614,2570.8565945575474
42211,42211,2713,2661.8027701522583
42212,42212,2855,2795.191122214021
42213,42213,2852,2809.8500201840825
42214,42214,2718,2809.8500201840825
42215,42215,2549,2830.9091407012343
42216,42216,2315,2426.494135183496
42217,42217,2119,2210.5430878319594
42218,42218,1996,2055.461873467845
42219,42219,1908,1830.6613228046015
42220,42220,1842,1782.3116997320308
42221,42221,1811,1782.3116997320308
42222,42222,1845,1853.6568025457332
42223,42223,1980,1850.1290548666839
42224,42224,2215,1942.1754090112222
42225,42225,2307,2197.6469141919556
42226,42226,2279,2426.625477538094
42227,42227,2224,2426.625477538094
42228,42228,2224,2287.675148597154
42229,42229,2238,2256.188241919778
42230,42230,2272,2443.756546964875
42231,42231,2350,2256.188241919778
42232,42232,2461,2516.9512134311344
42233,42233,2597,2647.5543663614976
42234,42234,2710,3032.858247172786
42235,42235,2793,2659.3279390446387
42236,42236,2866,2779.038199739088
42237,42237,2794,2830.9091407012343
42238,42238,2688,2656.347353774863
42239,42239,2549,2629.580740428776
42240,42240,2372,2426.494135183496
42241,42241,2178,2220.7188832865054
42242,42242,2043,2073.902298954231
42243,42243,1927,1893.9313410488826
42244,42244,1857,1884.0331008832513
42245,42245,1829,1867.8704507969983
42246,42246,1813,1826.7294432437461
42247,42247,1861,1821.381042042581
42248,42248,1958,1830.6051545550479
42249,42249,2012,1870.7901552142134
42250,42250,2057,1957.5323198642297
42251,42251,2032,1933.130170213221
42252,42252,2007,1978.8220507524143
42253,42253,2017,2003.3971095116744
42254,42254,2077,2443.756546964875
42255,42255,2134,2407.9246341139446
42256,42256,2203,2032.13319359399
42257,42257,2336,2056.470017280756
42258,42258,2437,2368.452575022617
42259,42259,2556,2548.239270922976
42260,42260,2696,2553.000289565224
42261,42261,2663,2566.3879217555577
42262,42262,2560,2538.981098589046
42263,42263,2434,2538.981098589046
42264,42264,2258,2417.503795668906
42265,42265,2084,2210.5430878319594
42266,42266,1969,2044.447845054754
42267,42267,1879,1827.7569889805666
42268,42268,1814,1759.8609724959028
42269,42269,1822,1759.8609724959028
42270,42270,1774,1759.8609724959028
42271,42271,1806,1796.824423980202
42272,42272,1873,1774.6062900575532
42273,42273,1907,1801.1026076601618
42274,42274,1990,1891.2740078761246
42275,42275,2004,1917.800969585492
42276,42276,1981,1917.800969585492
42277,42277,2003,1904.1823421345118
42278,42278,1960,1894.895515802896
42279,42279,1948,1894.895515802896
42280,42280,2018,1918.67442909585
42281,42281,2121,1913.288800743497
42282,42282,2302,2384.2917213317646
42283,42283,2473,2570.213541544729
42284,42284,2672,2777.2345415000277
42285,42285,2661,2777.2345415000277
42286,42286,2552,2726.435960375127
42287,42287,2403,2560.421708998104
42288,42288,2194,2386.6071268100022
42289,42289,2000,2195.128328140847
42290,42290,1913,2052.333802095399
42291,42291,1848,1869.1025584433992
42292,42292,1783,1782.3116997320308
42293,42293,1778,1867.8704507969983
42294,42294,1840,1867.8704507969983
42295,42295,2001,1837.7867474616028
42296,42296,2262,1942.1754090112222
42297,42297,2390,2231.706243853986
42298,42298,2407,2283.7413752045913
42299,42299,2368,2436.824337348318
42300,42300,2264,2426.625477538094
42301,42301,2258,2311.6553407267834
42302,42302,2338,2256.188241919778
42303,42303,2414,2246.340346573614
42304,42304,2440,2401.7437376116677
42305,42305,2482,2287.57174696109
42306,42306,2550,2452.596483146767
42307,42307,2663,2645.8362986483894
42308,42308,2849,2749.9073394762177
42309,42309,2798,2656.347353774863
42310,42310,2682,2656.347353774863
42311,42311,2517,2661.3083201876907
42312,42312,2287,2565.7925467100254
42313,42313,2098,2353.121825338172
42314,42314,1992,2147.591731582499
42315,42315,1909,1954.0979124967857
42316,42316,1881,1907.775847217686
42317,42317,1871,1907.775847217686
42318,42318,1875,1907.775847217686
42319,42319,2024,1922.3504603023023
42320,42320,2269,2049.3591960193157
42321,42321,2388,2216.226435686357
42322,42322,2409,2267.9955675560186
42323,42323,2379,2267.9955675560186
42324,42324,2293,2243.61342975806
42325,42325,2236,2233.7655344118966
42326,42326,2229,2243.61342975806
42327,42327,2279,2244.652542433477
42328,42328,2372,2256.4616089719325
42329,42329,2437,2253.533141418968
42330,42330,2524,2313.8613162528623
42331,42331,2666,2577.50272804808
42332,42332,2810,2642.9756842644774
42333,42333,2751,2656.347353774863
42334,42334,2695,2656.347353774863
42335,42335,2511,2629.580740428776
42336,42336,2272,2417.503795668906
42337,42337,2064,2210.5430878319594
42338,42338,1947,2062.913385428732
42339,42339,1852,1830.6613228046015
42340,42340,1803,1782.3116997320308
42341,42341,1776,1782.3116997320308
42342,42342,1825,1782.3116997320308
42343,42343,1973,1824.4797944351508
42344,42344,2231,1942.1754090112222
42345,42345,2327,2197.6469141919556
42346,42346,2291,2271.445412676973
42347,42347,2243,2271.445412676973
42348,42348,2187,2243.61342975806
42349,42349,2192,2235.3631838322103
42350,42350,2211,2235.3631838322103
42351,42351,2279,2287.5207702823764
42352,42352,2360,2247.1722503706665
42353,42353,2449,2287.57174696109
42354,42354,2573,2570.8565945575474
42355,42355,2648,2613.758101527713
42356,42356,2714,2616.564201286742
42357,42357,2630,2687.839323801486
42358,42358,2544,2642.9756842644774
42359,42359,2425,2629.580740428776
42360,42360,2233,2417.503795668906
42361,42361,2026,2210.5430878319594
42362,42362,1910,2062.913385428732
42363,42363,1819,1830.6613228046015
42364,42364,1770,1782.3116997320308
42365,42365,1738,1782.3116997320308
42366,42366,1776,1782.3116997320308
42367,42367,1916,1821.381042042581
42368,42368,2167,1953.7426519360524
42369,42369,2269,2218.655962647639
42370,42370,2233,2222.788371670493
42371,42371,2156,2223.827484345909
42372,42372,2121,2235.3631838322103
42373,42373,2125,2235.3631838322103
42374,42374,2135,2321.1115017666284
42375,42375,2233,2339.797011430811
42376,42376,2351,2370.8708927840817
42377,42377,2518,2546.300503081157
42378,42378,2531,2603.61582170104
42379,42379,2636,2634.3038536027516
42380,42380,2792,2626.9536341685157
42381,42381,2727,2653.3651171462507
42382,42382,2624,2653.3651171462507
42383,42383,2453,2639.9701733105494
42384,42384,2236,2426.494135183496
42385,42385,2036,2210.5430878319594
42386,42386,1916,2062.913385428732
42387,42387,1857,1830.6613228046015
42388,42388,1798,1788.0027229127954
42389,42389,1769,1788.0027229127954
42390,42390,1812,1788.0027229127954
42391,42391,1928,1821.381042042581
